,title,overview,release_date,popularity,vote_count
7605,Idle Hands,"Anton is a cheerful but exceedingly non-ambitious 17-year-old stoner who lives to stay buzzed, watch TV, and moon over Molly, the beautiful girl who lives next door. However, it turns out that the old cliché about idle hands being the devil's playground has a kernel of truth after all.",1999-04-30,8.105,349
7606,Small Crimes,"A disgraced former cop, fresh off a six-year prison sentence for attempted murder - returns home looking for redemption but winds up trapped in the mess he left behind.",2017-04-28,8.819,160
7607,Sicko,"Sicko is a Michael Moore documentary about the corrupt health care system in The United States who's main goal is to make profit even if it means losing peoples lives. ""The more people you deny health insurance the more money we make"" is the business model for health care providers in America.",2007-05-18,9.106,447
7608,Ask the Dust,"Mexican beauty Camilla hopes to rise above her station by marrying a wealthy American. That is complicated by meeting Arturo Bandini, a first-generation Italian hoping to land a writing career and a blue-eyed blonde on his arm.",2006-02-02,6.166,77
7609,Intruders,"Though no one can see him, Hollow Face lurks in the corners, desperately desiring love but only knowing how to spread fear and hate. He creeps into the life of John Farrow after Farrow’s beloved 13-year-old daughter Mia is assaulted in their home. The line between the real and the imaginary blurs as fissures start to open within the family unit. It seems that no security measure can keep Hollow Face out.",2011-09-12,9.108,315
7610,Shivers,"The residents of a suburban high-rise apartment building are being infected by a strain of parasites that turn them into mindless, sex-crazed fiends out to infect others by the slightest sexual contact.",1975-10-10,12.054,268
7611,The Manchurian Candidate,"Years after his squad was ambushed during the Gulf War, Major Ben Marco finds himself having terrible nightmares. He begins to doubt that his fellow squad-mate Sergeant Raymond Shaw, now a vice-presidential candidate, is the hero he remembers him being. As Marco's doubts deepen, Shaw's political power grows, and, when Marco finds a mysterious implant embedded in his back, the memory of what really happened begins to return.",2004-07-30,9.806,864
7612,Snow Buddies,"Dylan Sprouse, Jim Belushi and Kris Kristofferson lend their voices to this family-friendly tale about a feisty pack of golden retriever puppies that embarks on an Alaskan adventure. When they find themselves stranded in the northern wilderness, the canine offspring of famed sports star Air Bud team up with an experienced sled dog and a husky pup, who teach them the importance of working together.",2008-02-05,10.107,124
7613,Finding Vivian Maier,"Vivian Maier's photos were seemingly destined for obscurity, lost among the clutter of the countless objects she'd collected throughout her life. Instead these images have shaken the world of street photography and irrevocably changed the life of the man who brought them to the public eye. This film brings to life the interesting turns and travails of the improbable saga of John Maloof's discovery of Vivian Maier, unravelling this mysterious tale through her documentary films, photographs, odd collections and personal accounts from the people that knew her. What started as a blog to show her work quickly became a viral sensation in the photography world. Photos destined for the trash heap now line gallery exhibitions, a forthcoming book and this documentary film.",2014-03-21,7.861,192
7614,Twitches Too,"Reunited witch twins Camryn and Alex adjust to their new life as supernatural beings while at the same time trying to maintain a normal existence in this sequel to the magical Disney Channel original movie Twitches. But they soon find themselves going head to head with the forces of darkness that threaten to destroy their world. Luckily, their birth mother, the powerful Miranda, is on hand to help out.",2007-10-12,8.857,181
7615,The Assassination of Richard Nixon,"It’s 1974 and Sam Bicke has lost everything. His wife leaves him with his three kids, his boss fires him, his brother turns away from him, and the bank won’t give him any money to start anew. He tries to find someone to blame for his misfortunes and comes up with the President of the United States who he plans to murder.",2004-05-17,8.606,166
7616,Sleeping Beauty,"A haunting erotic fairytale about Lucy, a young University student drawn into a mysterious hidden world of beauty and desire.",2011-06-10,9.607,363
7617,Coogan's Bluff,Coogan (Clint Eastwood) an Arizona deputy sheriff goes to New York to pick up a prisoner. While escorting the prisoner to the airport he escapes and Coogan heads into the City to recapture him.,1968-10-02,10.604,149
7618,Anatomy of Hell,"A man rescues a woman from a suicide attempt in a gay nightclub. Walking the streets together, she propositions him: She'll pay him to visit her at her isolated house for four consecutive nights. There he will silently watch her. He's reluctant, but agrees. As the four nights progress, they become more intimate with each other, and a mutual fascination/revulsion develops. By the end of the four-day ""contract"", these two total strangers will have had a profound impact on each other.",2004-01-28,7.665,52
7619,The Friend,"After learning that his terminally ill wife has six months to live, a man welcomes the support of his best friend who moves into their home to help out.",2019-09-05,7.957,1
7620,Les Misérables,"Jean Valjean, a Frenchman imprisoned for stealing bread, must flee a police officer named Javert. The pursuit consumes both men's lives, and soon Valjean finds himself in the midst of the student revolutions in France.",1998-05-01,9.354,334
7621,Be My Slave,"Dan Mitsu stars as Kana, a female employee at a publishing company who strikes up a sexual relationship with a younger co-worker. He soon discovers that Kana's fetishes extend to sadomasochistic tendencies, involving a mysterious man only known as ""Sensei"". This discovery will push his relationship with Kana to a new, dangerous level that he may not be ready for.",2012-11-03,8.968,12
7622,Violet & Daisy,"Two teenage assassins accept what they think will be a quick-and-easy job, until an unexpected target throws them off their plan.",2011-09-15,9.107,164
7623,She's Out of My League,"When he starts dating drop-dead gorgeous Molly, insecure airport security agent Kirk can't believe it. As his friends and family share their doubts about the relationship lasting, Kirk does everything he can to avoid losing Molly forever.",2010-03-11,12.625,1178
7624,School Ties,"When David Greene receives a football scholarship to a prestigious prep school in the 1950s, he feels pressure to hide the fact that he is Jewish from his classmates and teachers, fearing that they may be anti-Semitic. He quickly becomes the big man on campus thanks to his football skills, but when his Jewish background is discovered, his worst fears are realized and his friends turn on him with violent threats and public ridicule.",1992-09-18,8.603,193
7625,Prospect,"A teenage girl and her father travel to a remote alien moon, aiming to strike it rich. They've secured a contract to harvest a large deposit of the elusive gems hidden in the depths of the moon's toxic forest. But there are others roving the wilderness and the job quickly devolves into a fight to survive.",2018-10-02,7.883,255
7626,Conor McGregor: Notorious,"Conor McGregor is the biggest star in the history of Mixed Martial Arts. Filmed over the course of 4 years, Notorious is the exclusive, all-access account of Conor’s meteoric rise from claiming benefits and living in his parents' spare room in Dublin to claiming multiple championship UFC belts and seven figure pay-packets in Las Vegas.",2017-11-03,7.641,84
7627,Into the Arms of Danger,"Two paramedics arrive at the site of a car accident to transport an injured teenage girl to the hospital. However, instead of taking her to the hospital, the strangers bring her to a home of a woman whose daughter just died.",2020-03-15,9.461,0
7628,Banana Split,"Over the course of a summer, two teenage girls develop the perfect kindred spirit friendship, with one big problem: one of them is dating the other's ex.",2018-09-22,7.072,8
7629,Welcome to the South,"Alberto (Claudio Bisio), post office manager of a small town in Brianza, under pressure of his wife Sylvia (Angela Finocchiaro), is willing to do anything to get the transfer to Milan. Even pretending to be disabled to climb in the ranking. But the trick does not work and as punishment, he is transferred in a small town in Campania, which to an inhabitant of the north is equivalent to a nightmare ...",2010-10-01,10.856,1322
7630,Madly in Love,"Cristina is a rich, spoiled princess visiting Rome with her royal parents. The mission of their visit is to marry her off to a super-wealthy corporate type and thereby start to turn around the losses their small kingdom is experiencing in its casino business. These less-than-noble intentions get derailed when Barnaba, a zany bus driver enters their lives and falls madly in love with the gorgeous Cristina. He is nuts enough to succeed in this romantic chase after royalty, as love seems to fuel his determination to rid Cristina of her elitism and to make her see his own irrepressible attractions.",1981-12-18,7.352,142
7631,Cruel Intentions 2,"After his precocious behavior has gotten him bounced out of one more in a string of exclusive private schools, 16-year old Sebastian Valmont has arrived in New York City to live with his father and stepmother. The cunning and handsome Sebastian may have met his match, however in his equally manipulative and beautiful stepsister Kathryn Merteuil.",2000-11-09,10.303,214
7632,The Runner,"In the aftermath of the BP oil spill, an idealistic but imperfect New Orleans politician (Nicolas Cage) finds his plans of restoration unraveling as his own life becomes contaminated with corruption, scandal and deceit.",2015-08-07,8.611,108
7633,Doraemon: Stand by Me Doraemon,"In the suburbs of Tokyo some time ago, there lived a clumsy boy about 10 years old. There appeared in front of him named Sewashi, Nobita's descendant of four generations later from the 22nd century, and Doraemon, a 22nd century cat-type caretaker robot who helps people with its secret gadgets. Sewashi claims that his family is suffering from the debts Nobita made even to his generation, so in order to change this disastrous future, he brought along Doraemon as Nobita's caretaker to bring happiness to his future, although Doraemon is not happy about this. And so Sewashi installed an accomplishment program into Doraemon forcing him to take care of Nobita. Unless he makes Nobita happy, Doraemon can no longer go back to the 22nd century. This is how the life of Doraemon and Nobita begins. Will Doraemon succeed this mission and return to the 22nd century?",2014-08-08,9.059,165
7634,Stuck in the Suburbs,"Brittany Aarons  is one of the many girls who has a crush on popular singer and boy-toy Jordan Cahill. However, she is bored of living a suburban existence and seeks a little something more.",2004-07-16,9.353,120
7635,Back in the Day,A young boxer is taken under the wing of a mob boss after his mother dies and his father is run out of town for being an abusive alcoholic.,2016-05-20,7.612,104
7636,Sorry if I Want to Marry You,"Second part of the film ""Sorry if I love you"". Alex (Raoul Bova) and Niki (Michela Quattrociocche) are more in love than ever. They have just returned from the lighthouse on the island Blu where they have lived unforgettable days. Niki returns to see his friends, but a number of important changes in their lives will test the friendship of the girls. Alex also resume life with his old friends. All of them, Flavio, Enrico and Pietro, are no longer serene and safe husbands due to certain difficulties that have compromised their marriages.",2010-02-12,7.604,295
7637,The Juror,"With his gangster boss on trial for murder, a mob thug known as ""the Teacher"" tells Annie Laird she must talk her fellow jurors into a not-guilty verdict, implying that he'll kill her son Oliver if she fails. She manages to do this, but, when it becomes clear that the mobsters might want to silence her for good, she sends Oliver abroad and tries to gather evidence of the plot against her, setting up a final showdown.",1996-02-02,12.611,179
7638,CBGB,CBGB looks at New York's dynamic punk rock scene through the lens of the ground-breaking Lower East Side club started by eccentric Hilly Kristal (Alan Rickman) in 1973 which launched thousands of bands.,2013-10-11,9.947,78
7639,Blue Thunder,"Officer Frank Murphy, an experienced LAPD helicopter pilot, is given command of the advanced new ""Blue Thunder"" chopper. But he begins to wonder why the LAPD would need a helicopter so powerful and why it is such a secret.",1983-02-05,8.551,223
7640,Steel Rain,"Amid a coup, a North Korean agent escapes south with the country's injured leader in an attempt to keep him alive and prevent a Korean war.",2017-12-14,8.451,61
7641,Indiana Jones 5,The plot is said to be based on one of the other books in the series.,2022-07-28,5.404,0
7642,The Humbling,"Following a breakdown and suicide attempt, an aging actor becomes involved with a much younger woman but soon finds that it's difficult to keep pace with her.",2014-03-26,7.988,71
7643,The Good Book,"In a future Leeds, society is divided between loyalists of the powerful Queen Bear and radical followers of Galahad. Avalon is a young woman desperate not to take sides, but as civil war begins she must undertake a dangerous mission to rescue a precious relic from destruction.",2020-05-01,5.885,0
7644,2-Headed Shark Attack,"A Semester at Sea ship is attacked and sunk by a mutated two-headed shark, and the survivors seek refuge on a deserted atoll. The coeds, however, are no longer safe when the atoll starts flooding.",2012-06-26,9.106,103
7645,The Maiden Heist,A comedy centered on three museum security guards who devise a plan to steal back the artworks to which they have become attached after they are transferred to another museum.,2009-05-09,8.604,202
7646,Yentl,"Rebbe Mendel is a single father who teaches the Talmud, a sacred text of Judaism, to the boys of his small Polish town. Behind closed doors, he also instructs his daughter, Yentl, despite the fact that girls are forbidden to study religious scripture. When Yentl's father dies, she still has a strong desire to learn about her faith -- so she disguises herself as a male, enrolls in a religious school, and unexpectedly finds love along the way.",1983-11-18,7.601,112
7647,Mad Love,"Matt falls for Casey, the new girl in school. She's fun-loving and eccentric, but there's a darkness to her whimsy that Matt can't begin to comprehend. When Casey attempts to commit suicide, her parents place her in a mental institution. Matt springs her out, and together the young lovers head on a road trip. They believe their love can ""cure"" Casey's problems. Matt starts to wonder, though, if are they inspired or misguided.",1995-05-26,6.191,53
7648,The Four Feathers,"The story, set in 1875, follows a British officer (Heath Ledger) who resigns his post when he learns of his regiment's plan to ship out to the Sudan for the conflict with the Mahdi. His friends and fiancée send him four white feathers which symbolize cowardice. To redeem his honor he disguises himself as an Arab and secretly saves the lives of those who branded him a coward.",2002-09-08,8.351,306
7649,The Week Of,The parents of a soon-to-be married couple make the final preparations for the wedding ceremony.,2018-04-27,12.603,463
7650,Martyrs,A woman and her childhood friend seek out revenge on those who victimized and abused them.,2016-01-22,12.603,148
7651,The Prince & Me: A Royal Honeymoon,"At last! The newly crowned King of Denmark, Edward, and his wife and Queen, Dr. Paige Morgan, find time to fly to Belavia for their secret honeymoon. What better way to spend the Christmas holidays than at a fabulous ski resort? But as they take a tour of Belavia's natural beauty, Eddie and Paige discover that the evil Prime Minister Polonius has given orders to bulldoze the precious forests - to drill for oil. Then, the couple bump into Paige's ex-boyfriend, Scott. Eddie immediately becomes jealous - furthermore he suspects Scott cannot be trusted. Paige and Eddie must do everything they can to save the forest, even if it means putting aside their honeymoon.",2008-10-28,12.603,84
7652,The Voices,"A mentally unhinged factory worker must decide whether to listen to his talking cat and become a killer, or follow his dog's advice to keep striving for normalcy.",2014-01-19,10.957,1093
7653,A Life Less Ordinary,"A couple of angels, O'Reilly and Jackson, are sent to Earth to make sure that their next supervised love-connection succeeds. They follow Celine, a spoiled rich girl who has just accidentally shot a suitor and, due to a misunderstanding, is kidnapped by janitor Robert. Although Celine quickly frees herself, she stays with Robert for thrills. O'Reilly and Jackson pursue, hoping to unite the prospective lovers.",1997-10-24,10.601,251
7654,Oliver!,"Musical adaptation of Charles Dickens' Oliver Twist, a classic tale of an orphan who runs away from the workhouse and joins up with a group of boys headed by the Artful Dodger and trained to be pickpockets by master thief Fagin.",1968-09-26,12.597,217
7655,Catch and Release,"Gray Wheeler just lost everything. But it could be the best thing that ever happened to her. After the death of her fiancé, Gray moves in with her late love's best friends. While Sam and Dennis do their best to cheer Gray up, Fritz doesn't seem to care. Once Gray breaks through Fritz's defenses, however, she finally sees why her fiancé thought so highly of him. As they spend more time together, Gray learns that her chances for love have not died out with her fiancé. But when some surprise guests show up on their doorstep, it'll take the love of all of her new friends to help Gray learn that life may be messy, but love is messier.",2006-10-20,8.802,333
7656,The Quiet Earth,"After a top-secret experiment misfires, a scientist may be the only man left alive in the world.",1985-09-08,9.35,281
7657,"Ronia, The Robber's Daughter","Ronya lives happily in her father's castle until she comes across a new playmate, Birk, in the nearby dark forest. The two explore the wilderness, braving dangerous Witchbirds and Rump-Gnomes. But when their families find out Birk and Ronja have been playing together, they forbid them to see each other again. Indeed, their fathers are competing robber chieftains and bitter enemies. Now the two spunky children must try to tear down the barriers that have kept their families apart for so long.",1984-12-14,9.14,93
7658,The Torture Club,"Film adaptation of the same-titled comic popular for its extraordinary premise. Up-and-coming Yoshida Kota, known for his humorous yet sensual style in films like Usotsuki Paradox, creates a unique coming-of-age drama about love between two girls, with elements of sports and perseverance sprinkled throughout.  The ""Torture Club"" is an official afterschool activity at the private school Saint Honesty Gakuen. Yuzuki (Kijima Noriko) has no idea about the club when she enrolls, and gets abducted by the club members and hauled off the clubroom. There, she finds out that upperclass student Aoi (Yoshizumi Haruna), her secret idol, is in the club, and decides to join, but…",2014-07-19,7.967,12
7659,Toolbox Murders,"A historic Hollywood hotel houses a supernatural evil. It's been subdued for decades - but when renovations start, a series of murders take place. It's up to our heroine to solve the mystery.",2004-11-12,7.582,91
7660,Milk Money,"Three young boys pool their money and pay V, a kindhearted prostitute, to strip for them. Afterward, she drives them home to the suburbs -- but then her car breaks down. It's just as well, though, because a mobster named Waltzer is after her, and V realizes the suburbs are the perfect place to hide. But things get a lot more complicated when V falls in love with Tom, a single father who is unaware of her real profession.",1994-08-31,8.85,125
7661,Fermat's Room,Four mathematicians who do not know each other are invited by a mysterious host on the pretext of resolving a great enigma. The room in which they find themselves turns out to be a shrinking room that will crush them if they do not discover in time what connects them all and why someone might wish to murder them.,2007-10-07,9.453,210
7662,The Great Outdoors,"It's vacation time for outdoorsy Chicago man Chet Ripley, along with his wife, Connie, and their two kids, Buck and Ben. But a serene weekend of fishing at a Wisconsin lakeside cabin gets crashed by Connie's obnoxious brother-in-law, Roman Craig, his wife, Kate, and the couple's two daughters. As the excursion wears on, the Ripleys find themselves at odds with the stuffy Craig family.",1988-06-17,9.349,285
7663,The Red Thread,"Seven years after their first infatuated encounter, Abril and Manuel meet again. Despite the fact that they are both married, it is soon apparent that their attraction has only grown.",2016-05-19,8.36,107
7664,Death at a Funeral,"Aaron's father's funeral is today at the family home, and everything goes wrong: the funeral home delivers the wrong body, his cousin accidentally drugs her fiancé, and Aaron's successful younger brother, Ryan, flies in from New York, broke but arrogant. To top it all off, a mysterious stranger wants a word with Aaron.",2010-04-15,10.603,586
7665,Beethoven's 3rd,"Everyone's favorite St. Bernard returns in this family film about man's best friend. Richard Newton, his wife Beth and kids Brennan and Sara shove off in their camper for a road trip. Along the way, they gain a new passenger: slobbery Beethoven. The Newtons plan to return Beethoven to his owner -- but not before he turns hero when a pair of thieves enter the picture.",2000-07-25,8.85,211
7666,Initial D,"After winning his first competition, Takumi focuses his attention on drift racing, a sport he has unknowingly perfected while delivering tofu in his father's Toyota AE86.",2005-05-12,10.411,77
7667,3:10 to Yuma,"Dave Evans, a small time farmer, is hired to escort Ben Wade, a dangerous outlaw, to Yuma. As Evans and Wade wait for the 3:10 train to Yuma, Wade's gang is racing to free him.",1957-08-07,8.85,167
7668,Chaos Theory,"Frank Allen, a professional speaker who lectures on time management has a perfectly ordered and scheduled life, down to the minute. When his wife sets his clock forward 10 minutes as a joke, his day is thrown off. Deciding that his strictly ordered life has done him little good, he begins to make multiple choice index cards, choosing one at random and doing what is written on the card.",2008-03-14,7.102,227
7669,Junior,"As part of a fertility research project, a male scientist agrees to carry a pregnancy in his own body.",1994-11-22,11.249,853
7670,Charade,"After Regina Lampert falls for the dashing Peter Joshua on a skiing holiday in the French Alps, she discovers upon her return to Paris that her husband has been murdered. Soon, she and Peter are giving chase to three of her late husband's World War II cronies, Tex, Scobie and Gideon, who are after a quarter of a million dollars the quartet stole while behind enemy lines. But why does Peter keep changing his name?",1963-12-05,12.587,684
7671,Reality Bites,"A small circle of friends suffering from post-collegiate blues must confront the hard truth about life, love and the pursuit of gainful employment. As they struggle to map out survival guides for the future, the Gen-X quartet soon begins to realize that reality isn't all it's cracked up to be.",1994-02-18,7.599,404
7672,Saint Seiya: Evil Goddess Eris,"When Seiya, Hyōga and Shun visit Saori (Athena) at the orphanage, they meet an employee called Eri. An orphan herself, Eri takes a liking to Hyōga and one night they sit outside watching the stars. They see a shooting star and Hyōga asks Eri to make a wish. After Hyōga leaves, however, Eri becomes powerfully attracted to the shooting star and wanders alone into the woods, where she finds a golden apple. She is then possessed by Eris, the Goddess of Discord, and kidnaps Athena, planning to use the golden apple to suck her energy out, fully reincarnate and take over the world. Eris leaves a message for the Bronze Saints, who set out for the goddess's temple which appears on the mountains. There, the heroes fight the five Ghost Saints: Maya of Sagitta, Orpheus of Lyra, Christ of the Southern Cross, Jan of Scutum (called by the Japanese name Tateza) and Jäger of Orion.",1987-07-18,5.798,65
7673,Crash,"After getting into a serious car accident, a TV director discovers an underground sub-culture of scarred, omnisexual car-crash victims who use car accidents and the raw sexual energy they produce to try to rejuvenate his sex life with his wife.",1996-07-17,9.349,469
7674,Sharknado 6,"With much of America lying in ruins, the rest of the world braces for a global sharknado, Fin and his family must travel around the world to stop them.",2018-08-23,7.826,90
7675,Sharknado 4: The 4th Awakens,"The new installment of the Sharknado franchise takes place 5 years after Sharknado 3: Oh Hell No! There have been no Sharknados in the intervening years, but now they’re appearing again in unexpected ways.",2016-07-31,8.11,231
7676,Sexmission,"Two scientists are chosen as guinea pigs for a time experiment: they are placed in hibernation and should be brought back to life after three years. In the meantime, however, the World War III breaks out and life have been wiped out of the surface of the Earth. When they wake up, it turns out that not only 50 years have passed but also that they are the only living specimens of the male sex in a new, underground society composed exclusively of women.",1984-05-13,6.848,139
7677,American Son,Time passes and tension mounts in a Florida police station as an estranged interracial couple awaits news of their missing teenage son.,2019-09-12,8.673,127
7678,Narrow Margin,"A L.A. District Attorney is attempting to take an unwilling murder witness back to the United States to testify against a top-level mob boss. Frantically attempting to escape two deadly hitmen sent to silence her, they board a Vancouver-bound train only to discover that the killers are onboard with them. For the next 20 hours, as the train hurls through the beautiful but isolated Canadian wilderness, a deadly game of cat and mouse ensues in which their ability to tell friend from foe is a matter of life and death.",1990-09-21,6.147,60
7679,The Sacrifice,"Alexander, a journalist, philosopher and retired actor, celebrates a birthday with friends and family when it is announced that nuclear war has begun.",1986-05-14,8.847,223
7680,Owning Mahowny,"Dan Mahowny was a rising star at the Canadian Imperial Bank of Commerce. At twenty-four he was assistant manager of a major branch in the heart of Toronto's financial district. To his colleagues he was a workaholic. To his customers, he was astute, decisive and helpful. To his friends, he was a quiet, but humorous man who enjoyed watching sports on television. To his girlfriend, he was shy but engaging. None of them knew the other side of Dan Mahowny--the side that executed the largest single-handed bank fraud in Canadian history, grossing over $10 million in eighteen months to feed his gambling obsession.",2003-05-02,7.098,75
7681,My Bloody Valentine,"Ten years ago, a tragedy changed the town of Harmony forever. Tom Hanniger, an inexperienced coal miner, caused an accident in the tunnels that trapped and killed five men and sent the only survivor, Harry Warden, into a permanent coma. But Harry Warden wanted revenge. Exactly one year later, on Valentine’s Day, he woke up…and brutally murdered twenty-two people with a pickaxe before being killed.",2009-01-16,11.75,665
7682,Futurama: The Beast with a Billion Backs,"Fresh off ripping space-time a new one at the end of ""Bender's Big Score,"" the Planet Express crew is back to mend the tear in reality, or (hopefully) at least not make it worse.  Beyond the tear, though, lurks a being of inconceivable...tentacularity.  What will become of Earth, and indeed, our universe, when faced with the Beast with a Billion Backs?",2008-06-30,10.35,303
7683,Obsession,"New Orleans businessman Michael Courtland’s life is shattered when his wife and daughter are tragically killed in a botched kidnap rescue attempt. Many years later whilst visiting Italy he meets and falls in in love with Sandra Portinari, who bears a striking resemblance to his wife.",1976-08-01,8.797,107
7684,A Madea Family Funeral,"A joyous family reunion becomes a hilarious nightmare as Madea and the crew travel to backwoods Georgia, where they find themselves unexpectedly planning a funeral that might unveil unpleasant family secrets.",2019-03-01,9.888,393
7685,She's All That,"High school hotshot Zach Siler is the envy of his peers. But his popularity declines sharply when his cheerleader girlfriend, Taylor, leaves him for sleazy reality-television star Brock Hudson. Desperate to revive his fading reputation, Siler agrees to a seemingly impossible challenge. He has six weeks to gain the trust of nerdy outcast Laney Boggs -- and help her to become the school's next prom queen.",1999-01-29,10.398,1168
7686,Limited Time Offer Act Now,"Charles Henderson is an average everyday guy living in the suburbs. After receiving an urgent piece of mail, he realizes his life may not be quite what it seems, and embarks on a desperate search to uncover his true reality.",2020-05-01,6.381,0
7687,Brexit: The Uncivil War,Political strategist Dominic Cummings leads a popular but controversial campaign to convince British voters to leave the European Union from 2015 up until the present day.,2019-01-19,8.884,136
7688,The Hobbit,"Bilbo Baggins the Hobbit was just minding his own business, when his occasional visitor Gandalf the Wizard drops in one night. One by one, a whole group of dwarves drop in, and before he knows it, Bilbo has joined their quest to reclaim their kingdom, taken from them by the evil dragon Smaug. The only problem is that Gandalf has told the dwarves that Bilbo is an expert burglar, but he isn't...",1977-11-27,8.097,146
7689,Nightfire,Two American agents are hired to retrieve military chips containing top-secret information. Their plan goes awry when an unexpected political prisoner enters the picture.,2020-05-01,7.38,0
7690,The Bookshop,"Set in an small English town in 1959, the story of a woman who decides, against polite but ruthless local opposition, to open a bookshop, a decision which becomes a political minefield.",2017-11-10,12.566,218
7691,Wilson,"Middle-aged and divorced, Wilson finds himself lonely, smug and obsessed with his past.",2017-03-24,7.062,218
7692,Private Valentine: Blonde & Dangerous,"When fluffy, bubble gum movie star Megan Valentine suddenly finds herself broke and humiliated in the public eye, she wanders from the wreckage of a car accident and witlessly enlists in the U.S. Army hoping in vain that it will change her life.",2008-11-07,8.89,93
7693,The Pledge,A police chief about to retire pledges to help a woman find her daughter's killer. Based on a story by Swiss writer Friedrich Dürrenmatt.,2001-01-09,9.048,513
7694,Day for Night,"A committed film director struggles to complete his movie while coping with a myriad of crises, personal and professional, among the cast and crew.",1973-05-24,9.097,290
7695,Hatching Pete,"Pete Ivey (Jason Dolley) is the type of guy who's easily overlooked in the school halls -- unlike his boisterous best friend, Cleatus Poole (Mitchel Musso), who's proudly carrying on the family tradition of spreading school spirit as the spirited Brewster High chicken. But when the costume prompts an allergy attack, Poole begs Pete to take his place at center court; the resulting anonymity frees Pete to discover his inner star. Trouble is, it's Poole who's getting all the attention from fans, who think he's the one behind the mask. Meanwhile, Pete's attempts to get noticed by pretty new girl Angela (Josie Loren) are complicated by the fact that she's also entranced with the mysterious man in the chicken suit. In the end, Pete must decide whether facing the possibility of rejection is worth revealing himself for what -- and who -- he really is.",2009-04-24,7.349,109
7696,As the Gods Will,"Takahata Shun's day at high school begins just as boring as ever, but it doesn't end that way. He and his classmates find themselves forced to play children's games with deadly stakes. With no idea who is behind, the only thing Shun and other students can do is keep trying to win.",2014-11-15,9.104,121
7697,Old Yeller,"Young Travis Coates is left to take care of the family ranch with his mother and younger brother while his father goes off on a cattle drive in the 1860s. When a yellow mongrel comes for an uninvited stay with the family, Travis reluctantly adopts the dog.",1957-12-25,8.347,145
7698,Girl in the Box,"A hitchhiking woman is abducted by a young couple and held captive for seven years, during which time she's tortured and forced to live as a slave to her captors.",2016-09-10,7.628,34
7699,The Forger,"A former child art prodigy and second generation petty thief arranges to buy his way out of prison to spend time with his ailing son, only to be forced to alter his plans and commit one more job for the man who financed his release.",2014-09-10,11.103,215
7700,The Land Before Time XIII: The Wisdom of Friends,"After an incident which nearly cost Littlefoot's grandmother her life, Littlefoot learns a series of lessons which his species call ""Wisdoms"". Meanwhile, a trio of dim-witted Beipiaosauruses named Loofah, Doofah and Foobie arrive in the Great Valley and behave in a strange manner towards Littlefoot and the gang. Littlefoot is determined that they learn the ""Wisdoms"" and the journey to the one place the trio have dreamed of, Berry Valley, begins.",2007-11-27,7.889,93
7701,Little White Lies,"Despite a traumatic event, a group of friends decide to go ahead with their annual beach vacation. Their relationships, convictions, sense of guilt and friendship are sorely tested. They are finally forced to own up to the little white lies they've been telling each other.",2010-10-20,9.5,1025
7702,Cabin Fever 2: Spring Fever,A high school prom faces a deadly threat: a flesh-eating virus that spreads via a popular brand of bottled water.,2009-08-11,9.099,197
7703,Highway,"Jack is caught with the wife of his employer, a Vegas thug. The thug sends goons after Jack, who convinces his best friend, Pilot, to flee with him. Pilot insists that they head for Seattle, but doesn't tell Jack why. The goons learn from Pilot's drug source where the youths are headed, and they follow, hell bent on breaking Jack's feet. On the road, Jack and Pilot give a ride to Cassie, a distressed young woman. She and Jack hit it off. They pick up an aging stoner headed to Seattle for Kurt Cobain's memorial, and they help a circus sideshow family. Why is Pilot so set on Seattle, will the goons catch Jack, and is there any way the friends' competing needs can be resolved?",2002-03-26,5.627,76
7704,The Ox-Bow Incident,"Gil Carter and Art Croft ride into a small Nevada town plagued by cattle thieves. Initially suspected of being the rustlers themselves, Carter and Croft eventually join a posse out to get the criminals, who also may be involved in a recent shooting. When the posse closes in on a group that could be the fugitives, they must decide on a course of action, with numerous lives hanging in the balance.",1943-03-11,7.597,161
7705,Big Business,"In the 1940s in the small town of Jupiter Hollow, two sets of identical twins are born in the same hospital on the same night. One set to a poor local family and the other to a rich family just passing through. The dizzy nurse on duty accidentally mixes the twins unbeknown to the parents. Our story flashes forward to the 1980s where the mismatched sets of twins are about to cross paths.",1988-06-10,9.095,120
7706,The Shaggy Dog,The tale of a workaholic dad-turned-dog who finds that being man's best friend shows him the most important job - being a great dad.,2006-03-09,9.597,372
7707,The Crow: Salvation,"Alex Corvis returns to the world of the living to solve the murder of a young woman that he was wrongly accused of killing. Alex follows the crow into the police department's evidence room, where he discovers that Lauren was killed by a group of corrupt cops.",2000-10-31,12.346,176
7708,Three Wishes for Cinderella,"The film stars Libuse Safrankova as the title character, a young woman who is put upon by her stepmother and stepsisters. The film employs a twist, though, when a handsome prince comes knocking. Cinderella does not simply fall into the prince's arms. In this version, he must actively pursue the young woman who is a skilled sharpshooter prone to wearing hunting outfits. Cinderella also has three wishes at her disposal, gained from three magic nuts.",1973-11-16,10.095,190
7709,Kung Fu Yoga,"Two professors team up to locate a lost treasure and embark on an adventure that takes them from a Tibetan ice cave to Dubai, and to a mountain temple in India.",2017-01-27,11.809,186
7710,Lucky You,A professional poker player whose astounding luck at the table fails to translate into his lonesome love life attempts to win the World Series of Poker while simultaneously earning the affections of a beautiful Las Vegas singer.,2007-05-01,8.847,170
7711,Merhaba Canım,A documentary film about the poet.,2020-05-01,6.885,0
